Файл	C:\Documents and Settings\Center\Рабочий стол\Изгиб_08.11.22\Иост_1.rez
Вид испытания	сжатие	1
Дата	8 Ноябрь 2022 г.	12:49:49
Скорость [мм/мин]	 1.0
Форма	Круглый	0
Начальные размеры: [мм]
Диаметр	Толщина	Ширина	Длина	База
10.00			50.00	40.00
Размеры после испытания: [мм]

Количество точек	2415

Время [с]	Перемещение [мм]	Усилие [Н]
52.70	1.738	1.5600E+0
52.80	1.741	1.5700E+0
52.90	1.744	1.5700E+0
53.00	1.748	1.5600E+0
53.10	1.751	1.5700E+0
53.20	1.755	1.5600E+0
53.30	1.758	1.5700E+0
53.40	1.761	1.5600E+0
53.50	1.764	1.5600E+0
53.60	1.768	1.5600E+0
53.70	1.771	1.5700E+0
53.80	1.775	1.5600E+0
53.90	1.778	1.5700E+0
54.00	1.781	1.5600E+0
54.10	1.784	1.5700E+0
54.20	1.788	1.5700E+0
54.30	1.791	1.5700E+0
54.40	1.794	1.5800E+0
54.50	1.798	1.5700E+0
54.60	1.801	1.5700E+0
54.70	1.804	1.5700E+0
54.80	1.807	1.5700E+0
54.90	1.811	1.5800E+0
55.00	1.814	1.5700E+0
55.10	1.817	1.5800E+0
55.20	1.820	1.5800E+0
55.30	1.824	1.5700E+0
55.40	1.827	1.5700E+0
55.50	1.830	1.5800E+0
55.60	1.834	1.5700E+0
55.70	1.837	1.5700E+0
55.80	1.840	1.5800E+0
55.90	1.843	1.5800E+0
56.00	1.847	1.5700E+0
56.10	1.850	1.5700E+0
56.20	1.853	1.5800E+0
56.30	1.856	1.5800E+0
56.40	1.860	1.5700E+0
56.50	1.863	1.5700E+0
56.60	1.866	1.5800E+0
56.70	1.870	1.5800E+0
56.80	1.873	1.5800E+0
56.90	1.876	1.5800E+0
57.00	1.879	1.5700E+0
57.10	1.883	1.5700E+0
57.20	1.886	1.5800E+0
57.30	1.889	1.5800E+0
57.40	1.892	1.5800E+0
57.50	1.896	1.5800E+0
57.60	1.899	1.5700E+0
57.70	1.902	1.5700E+0
57.80	1.905	1.5800E+0
57.90	1.909	1.5800E+0
58.00	1.912	1.5800E+0
58.10	1.915	1.5700E+0
58.20	1.918	1.5800E+0
58.30	1.922	1.5700E+0
58.40	1.925	1.5800E+0
58.50	1.928	1.5800E+0
58.60	1.931	1.5800E+0
58.70	1.935	1.5800E+0
58.80	1.938	1.5900E+0
58.90	1.941	1.5800E+0
59.00	1.945	1.5800E+0
59.10	1.948	1.5800E+0
59.20	1.951	1.5800E+0
59.30	1.954	1.5700E+0
59.40	1.958	1.5800E+0
59.50	1.961	1.5800E+0
59.60	1.964	1.5700E+0
59.70	1.967	1.5800E+0
59.80	1.970	1.5800E+0
59.90	1.974	1.5800E+0
60.00	1.977	1.5700E+0
60.10	1.980	1.5700E+0
60.20	1.983	1.5800E+0
60.30	1.987	1.5800E+0
60.40	1.990	1.5700E+0
60.50	1.993	1.5800E+0
